LABORATÓRIO	REGISTRO	EAN 1	PRODUTO	APRESENTAÇÃO
EMS S/A	1023506580010	7896004767703	ACEBROFILINA	5 MG/ML XPE CT FR VD AMB X 120 ML + COP
EMS S/A	1023506580029	7896004767697	ACEBROFILINA	10 MG/ML XPE CT FR VD AMB X 120 ML + COP
EMS S/A	1023506580037	7896004710464	ACEBROFILINA	5 MG/ML XPE CT FR PLAS AMB X 120 ML + COP
EMS S/A	1023506580045	7896004710471	ACEBROFILINA	10 MG/ML XPE CT FR PLAS AMB X 120 ML + COP
VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA	1640000040021	7898920500402	ACETATO DE SÓDIO	2 MEQ/ML SOL INJ IV CX 10 FA VD TRANS X 50 ML
VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA	1640000040031	7898920500419	ACETATO DE SÓDIO	2 MEQ/ML SOL INJ IV CX 25 FA VD TRANS X 50 ML
VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA	1640000040048	7898920500426	ACETATO DE SÓDIO	2 MEQ/ML SOL INJ IV CX 50 FA VD TRANS X 50 ML
VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA	1640000040013	7898920500167	ACETATO DE SÓDIO	2 MEQ/ML SOL INJ IV CX 50 AMP VD TRANS X 10 ML
VASCONCELOS INDUSTRIA FARMACEUTICA E COMERCIO LTDA	1640000110011	7898920500334	ACETATO DE ZINCO 0,5 MEQ/ML	0,5 MEQ/ML (54 MG/ML) SOL INJ IV CX 50 AMP VD TRANS X 5 ML
GLENMARK FARMACÊUTICA LTDA	1101302880021	7897473207417	ACITRETINA	10 MG CAP DURA CT BL AL AL X 100
GLENMARK FARMACÊUTICA LTDA	1101302880046	7897473207431	ACITRETINA	25 MG CAP DURA CT BL AL AL X 100
HERBARIUM LABORATORIO BOTANICO LTDA	1186000070059	7896083402588	CLIFEMIN	160 MG COM REV CT BL AL PLAS PVDC TRANS X 15
HERBARIUM LABORATORIO BOTANICO LTDA	1186000070067	7896083402540	CLIFEMIN	160 MG COM REV CT BL AL PLAS PVDC TRANS X 30
EMS S/A	1023512760017	7896004763606	AGOMELATINA	25 MG COM REV CT BL AL PLAS PVDC OPC X 7
EMS S/A	1023512760025	7896004755366	AGOMELATINA	25 MG COM REV CT BL AL PLAS PVDC OPC X 14
EMS S/A	1023512760033	7896004763613	AGOMELATINA	25 MG COM REV CT BL AL PLAS PVDC OPC X 15
EMS S/A	1023512760041	7896004763620	AGOMELATINA	25 MG COM REV CT BL AL PLAS PVDC OPC X 20
EMS S/A	1023512760051	7896004755373	AGOMELATINA	25 MG COM REV CT BL AL PLAS PVDC OPC X 28
EMS S/A	1023512760068	7896004763637	AGOMELATINA	25 MG COM REV CT BL AL PLAS PVDC OPC X 30
EMS S/A	1023512760076	7896004763644	AGOMELATINA	25 MG COM REV CT BL AL PLAS PVDC OPC X 56
EMS S/A	1023512760084	7896004763651	AGOMELATINA	25 MG COM REV CT BL AL PLAS PVDC OPC X 60
TEVA FARMACÊUTICA LTDA.	1557300620013	7898587901574	ELENCOS	25 MG COM REV CT BL AL AL DESSEC X 14
TEVA FARMACÊUTICA LTDA.	1557300620021	7898587901451	ELENCOS	25 MG COM REV CT BL AL AL DESSEC X 28
TEVA FARMACÊUTICA LTDA.	1557300620031	7898587901581	ELENCOS	25 MG COM REV CT BL AL AL DESSEC X 56
TEVA FARMACÊUTICA LTDA.	1557300630027	7898587901697	AGOMELATINA	25 MG COM REV CT BL AL AL DESSEC X 28
TEVA FARMACÊUTICA LTDA.	1557300630035	7898587901703	AGOMELATINA	25 MG COM REV CT BL AL AL DESSEC X 56
EUROFARMA LABORATORIOS S.A.	1004314510026	7891317010782	ALPRAZOLAM	1 MG COM CT BL AL AL X 30
EUROFARMA LABORATORIOS S.A.	1004314510034	7891317010799	ALPRAZOLAM	2 MG COM CT BL AL AL X 30
EMS S/A	1023506630034	7896004718811	ALPRAZOLAM	0,25 MG COM CT BL AL PLAS TRANS X 30 
